th,roman,en,de,cat
รับของ,rap khong,receive a package,Paket erhalten,Alltag
เปิดบัญชี,poet banchi,open an account,Konto eröffnen,Alltag
ถอนเงิน,thon ngoen,withdraw money,Geld abheben,Alltag
ฝากเงิน,faak ngoen,deposit money,Geld einzahlen,Alltag
โทรศัพท์มือถือ,thorasap muea-thue,mobile phone,Handy,Alltag
อินเทอร์เน็ต,internet,internet,Internet,Alltag
ไวไฟ,wifi,wifi,WLAN,Alltag
สัญญาณไม่ดี,sanyan mai dee,bad signal,schlechter Empfang,Alltag
ช้า,cha,slow,langsam,Alltag
เร็ว,reo,fast,schnell,Alltag
ร้อน,ron,hot,heiss,Alltag
เย็น,yen,cool/cold,kühl/kalt,Alltag
ฝนหยุดแล้ว,fon yut laeo,rain stopped,Regen hat aufgehört,Alltag
สวัสดี,sawatdee,hello,hallo,Alltag
ลาก่อน,laa kon,goodbye,tschüss,Alltag
ขอบคุณ,khop khun,thank you,danke,Alltag
ขอโทษ,kho thot,sorry,entschuldigung,Alltag
ไม่เป็นไร,mai pen rai,no problem,macht nichts,Alltag
ใช่,chai,yes,ja,Alltag
ไม่,mai,no,nein,Alltag
ได้,dai,can,kann,Alltag
ไม่ได้,mai dai,cannot,kann nicht,Alltag
ช่วย,chuay,help,helfen,Alltag
กรุณา,karuna,please,bitte,Alltag
โอเค,ok,okay,ok,Alltag
ดี,dee,good,gut,Alltag
แย่,yae,bad,schlecht,Alltag
